period,experiment_runn,measurer,main,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
162,2865277,590860,102494,160518884,8862319,17,45098,11077,146400,7517689,27244,290216,4124,0.67
163,2878075,594206,102494,161465857,8931701,17,45098,11077,147402,7556555,27244,290216,4124,1.19
164,2892980,597555,102494,162416491,8962771,17,45098,11077,148053,7591166,27244,290216,4124,1.13
165,2903663,600872,102494,163377161,8980757,17,45098,11077,148731,7618059,27244,290216,4124,0.77
166,2915356,603740,102494,164337553,9013284,17,45098,11077,149370,7645882,27244,290216,4124,0.84
167,2924175,607051,102494,165298016,9050586,17,45098,11077,150164,7673475,27244,290216,4124,0.87
168,2937461,610542,102494,166244643,9092250,17,45098,11077,151017,7712817,27244,290216,4124,1.41
169,2949329,613165,102494,167194206,9139522,17,45098,11077,152012,7749967,27244,290216,4124,1.20
170,2963235,616509,102494,168138391,9189265,17,45098,11077,153022,7789124,27244,290216,4124,1.37
171,2981363,619845,102494,169071002,9265136,17,45098,11077,153899,7836624,27244,290216,4124,1.68
172,2999082,623264,102494,170011707,9322489,17,45098,11077,154658,7878016,27244,290216,4124,1.69
173,3009304,626267,102494,170971026,9339907,17,45098,11077,155767,7907362,27244,290216,4124,0.86
174,3021170,629592,102494,171915540,9420524,17,45098,11077,156641,7949540,27244,290216,4124,1.42
175,3027231,632717,102494,172877796,9468260,17,45098,11077,157726,7980186,27244,290216,4124,0.99
176,3031244,636082,102494,173843841,9494607,17,45098,11077,158735,8007369,27244,290216,4124,0.60
177,3048335,639282,102494,174786537,9541415,17,45098,11077,159621,8047084,27244,290216,4124,1.51
178,3055400,642613,102494,175751797,9569794,17,45098,11077,160640,8072591,27244,290216,4124,0.70
179,3069447,651189,102494,176693701,9621384,17,45098,11077,161577,8115970,27244,290216,4124,1.43
period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,560,4913,34570741,26368,17,45017,13397,18918,854348,27248,290216,4124,0.03
1,6226,15793,34577947,27414,17,45017,13397,19634,860983,27248,290216,4124,0.00
2,9856,21636,36554444,31993,17,45017,13397,21017,881713,27248,290216,4124,0.12
3,13097,24574,37522201,46098,17,45017,13397,22073,909184,27248,290216,4124,0.59
4,21899,27572,38480661,61337,17,45017,13397,23210,939126,27248,290216,4124,0.77
5,22727,30484,39459758,66168,17,45017,13397,24272,956619,27248,290216,4124,0.18
6,24079,33496,40433503,71924,17,45017,13397,25286,978870,27248,290216,4124,0.18
7,24554,36519,41418958,74180,17,45017,13397,26223,991441,27248,290216,4124,0.02
8,24771,39532,42408290,75780,17,45017,13397,27072,999747,27248,290216,4124,0.01
9,30567,42532,43382250,86692,17,45017,13397,27739,1019745,27248,290216,4124,0.51
10,31724,45550,44365242,90709,17,45017,13397,28708,1034705,27248,290216,4124,0.11
11,31954,48552,45349388,92797,17,45017,13397,29760,1048904,27248,290216,4124,0.02
12,32153,51558,46336068,94383,17,45017,13397,30548,1060903,27248,290216,4124,0.01
13,32153,54558,47330712,95350,17,45017,13397,31072,1065841,27248,290216,4124,0.00
14,34380,57533,48308736,100695,17,45017,13397,31932,1084183,27248,290216,4124,0.19
