period,experiment_runn,measurer,main,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
106,310405,535216,136783059,8689376,17,45013,20735,122923,3112970,27248,290216,4092,0.01
107,310405,538459,137770687,8740409,17,45013,20735,123807,3124252,27248,290216,4092,0.01
108,310405,541702,138759134,8759508,17,45013,20735,124645,3134761,27248,290216,4092,0.01
109,310405,544946,139748288,8760043,17,45013,20735,125510,3144534,27248,290216,4092,0.00
110,310405,548172,140734433,8963120,17,45013,20735,126320,3157382,27248,290216,4092,0.02
111,310405,551413,141722343,9031857,17,45013,20735,127177,3168411,27248,290216,4092,0.01
112,311035,554657,142704914,9124855,17,45013,20735,128261,3183918,27248,290216,4092,0.01
113,311035,557892,143694702,9151764,17,45013,20735,128951,3193251,27248,290216,4092,0.00
114,311035,561133,144683337,9249239,17,45013,20735,129623,3203740,27248,290216,4092,0.02
115,311035,564380,145670001,9322423,17,45013,20735,130531,3215958,27248,290216,4092,0.01
116,311035,567626,146658554,9419197,17,45013,20735,131450,3226276,27248,290216,4092,0.01
117,311035,570868,147646741,9495010,17,45013,20735,132257,3237076,27248,290216,4092,0.01
118,311035,574108,148633583,9599856,17,45013,20735,133199,3249088,27248,290216,4092,0.01
119,311035,577353,149620609,9651393,17,45013,20735,134160,3260893,27248,290216,4092,0.01
120,311671,580593,150603862,9767993,17,45013,20735,135073,3275981,27248,290216,4092,0.07
121,311671,583832,151590086,9843465,17,45013,20735,136023,3288604,27248,290216,4092,0.01
122,311671,587083,152574388,9914989,17,45013,20735,137249,3302866,27248,290216,4092,0.01
123,311671,590333,153561704,9969021,17,45013,20735,138088,3314507,27248,290216,4092,0.01
124,311671,593577,154545913,10026981,17,45013,20735,139168,3329010,27248,290216,4092,0.01
125,311671,600064,156515248,10206295,17,45013,20735,140927,3357502,27248,290216,4092,0.01
126,311671,603309,157504986,10251970,17,45013,20735,141665,3366818,27248,290216,4092,0.01
127,311671,606550,158491842,10330020,17,45013,20735,142349,3379074,27248,290216,4092,0.01
128,311671,609795,159477548,10419653,17,45013,20735,143116,3392393,27248,290216,4092,0.01
129,312054,613037,160465700,10496041,17,45013,20735,144025,3403126,27248,290216,4092,0.01
130,312054,616286,161453024,10565321,17,45013,20735,145016,3414607,27248,290216,4092,0.01
131,312054,619523,162436194,10661600,17,45013,20735,146101,3430151,27248,290216,4092,0.01
132,312054,626200,163423445,10687857,17,45013,20735,147125,3441245,27248,290216,4092,0.00
133,312054,629441,164409583,10755296,17,45013,20735,147919,3454109,27248,290216,4092,0.01
134,312054,632687,165396802,10833604,17,45013,20735,148915,3465684,27248,290216,4092,0.01
135,312054,636558,166382063,10936135,17,45013,20735,149828,3478676,27248,290216,4092,0.01
136,312054,643039,168356017,11037842,17,45013,20735,151469,3502672,27248,290216,4092,0.01
137,312054,646284,169341577,11122514,17,45013,20735,152444,3515929,27248,290216,4092,0.01
138,312684,649529,170329651,11234555,17,45013,20735,153184,3526277,27248,290216,4092,0.01
139,312684,652693,171308949,11261603,17,45013,20735,153805,3546231,27248,290216,4092,0.00
140,312684,655933,172299612,11364286,17,45013,20735,154612,3554557,27248,290216,4092,0.01
141,312684,659177,173254068,11408468,17,45013,20735,155550,3598955,27248,290216,4092,0.01
142,312684,662424,174225331,11458440,17,45013,20735,156610,3626421,27248,290216,4092,0.01
143,312684,668915,176173565,11536597,17,45013,20735,158520,3675858,27248,290216,4092,0.00
144,312684,672146,177159006,11728730,17,45013,20735,159434,3689301,27248,290216,4092,0.02
145,312684,675390,178145616,11804585,17,45013,20735,160315,3701602,27248,290216,4092,0.01
146,312684,678634,179131393,11847972,17,45013,20735,161351,3714581,27248,290216,4092,0.03
147,319832,681881,180108832,11973599,17,45013,20735,162319,3728815,27248,290216,4092,0.02
148,319832,685202,181097639,12010693,17,45013,20735,163209,3740188,27248,290216,4092,0.01
149,319832,704060,183078795,12025502,17,45013,20735,165117,3766982,27248,290216,4092,0.00
150,319832,707303,184066084,12026152,17,45013,20735,166118,3778486,27248,290216,4092,0.00
151,319832,710538,185052643,12096413,17,45013,20735,167035,3790804,27248,290216,4092,0.01
