period,tiT,experiment_runn,measurer,main,IDLE,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
75,8549749,229660,48533405,24128253,13583,1823,89144,25065807,19,19441,290608,4152,19.78,101146
76,8699010,232497,49177914,24401810,13583,1823,90462,25324119,19,19441,290608,4152,19.44,101146
77,8852428,235958,49812479,24681472,13583,1823,91695,25588460,19,19441,290608,4152,20.24,101146
78,9003540,238519,54760107,24957914,13583,1823,92935,25847232,19,19441,290608,4152,19.59,101146
79,9150287,241661,51099634,25226838,13583,1823,94144,26103332,19,19441,290608,4152,19.29,101146
80,9295757,244714,56138551,25495493,13583,1823,95356,26355981,19,19441,290608,4152,19.23,101146
81,9441092,247655,52396178,25765886,13583,1823,96614,26612823,19,19441,290608,4152,19.15,101146
82,9594938,250532,53029704,26043764,13583,1823,97771,26876811,19,19441,290608,4152,19.88,101146
83,9748048,253496,58179456,26325970,13583,1823,98976,27144504,19,19441,290608,4152,20.32,101146
84,9881606,256135,54350301,26561617,13583,1823,100144,27367332,19,19441,290608,4152,16.74,101146
85,10010848,258997,55041383,26794478,13583,1823,101268,27587894,19,19441,290608,4152,16.46,101146
86,10137381,261457,55738544,27025718,13583,1823,102431,27809276,19,19441,290608,4152,16.50,101146
87,10265943,264705,56431582,27259832,13583,1823,103679,28033718,19,19441,290608,4152,16.64,101146
88,10395206,267998,57122304,27492307,13583,1823,104990,28255795,19,19441,290608,4152,16.51,101146
89,10518632,270354,57809549,27722292,13583,1823,106328,28476865,19,19441,290608,4152,16.33,101146
90,10646735,273624,58498483,27956879,13583,1823,107441,28699556,19,19441,290608,4152,16.68,101146
91,10774453,277030,59194979,28187521,13583,1823,108602,28921125,19,19441,290608,4152,16.43,101146
92,10902437,279873,59886347,28421813,13583,1823,109705,29145104,19,19441,290608,4152,16.56,101146
93,11032826,282559,60578550,28658614,13583,1823,110915,29369233,19,19441,290608,4152,16.65,101146
94,11158050,285238,61265317,28887556,13583,1823,112162,29589979,19,19441,290608,4152,16.19,101146
95,11283203,288519,61947664,29121869,13583,1823,113385,29813776,19,19441,290608,4152,16.71,101146
96,11413759,291312,67648418,29357800,13583,1823,114378,30037154,19,19441,290608,4152,16.61,101146
97,11537300,294603,63341099,29584858,13583,1823,115649,30255134,19,19441,290608,4152,16.30,101146
98,11627025,298024,64122964,29744698,13583,1823,117019,30411553,19,19441,290608,4152,11.28,101146
99,11780246,301490,64756506,30020218,13583,1823,118169,30671970,19,19441,290608,4152,19.53,101146
100,11924250,304969,65411194,30278901,13583,1823,119231,30920273,19,19441,290608,4152,18.53,101146
101,12034190,307510,66135735,30481928,13583,1823,120487,31118775,19,19441,290608,4152,14.47,101146
102,12180903,310816,66784516,30748156,13583,1823,121716,31370707,19,19441,290608,4152,18.84,101146
103,12310811,314118,67477847,30982137,13583,1823,122836,31591493,19,19441,290608,4152,16.55,101146
104,12438872,317560,68174824,31212968,13583,1823,123911,31810090,19,19441,290608,4152,16.34,101146
105,12562809,320560,74219369,31443500,13583,1823,125191,32032116,19,19441,290608,4152,16.66,101146
106,12686119,323465,69559280,31673061,13583,1823,126469,32255583,19,19441,290608,4152,16.55,101146
107,12811607,326950,75688831,31904010,13583,1823,127668,32478127,19,19441,290608,4152,16.51,101146
